"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 18","61.64","64.76","66.30","58.07","11.99M","-4.77"
"Jan 18","64.73","60.20","66.66","60.10","12.77M","7.13"
"Dec 17","60.42","57.42","60.51","55.82","9.49M","5.26"
"Nov 17","57.40","54.65","59.05","53.89","12.53M","5.55"
"Oct 17","54.38","51.64","54.85","49.10","11.95M","5.24"
"Sep 17","51.67","47.08","52.86","46.56","12.24M","9.40"
"Aug 17","47.23","50.21","50.43","45.58","17.17M","-5.86"
"Jul 17","50.17","46.28","50.41","43.65","14.57M","8.97"
"Jun 17","46.04","48.63","49.17","42.05","15.23M","-4.72"
"May 17","48.32","49.17","52.00","43.76","14.25M","-2.05"
"Apr 17","49.33","50.69","53.76","48.20","9.72M","-2.51"
"Mar 17","50.60","53.95","54.44","47.01","12.60M","-6.31"
"Feb 17","54.01","52.76","54.94","51.22","9.09M","2.27"
"Jan 17","52.81","54.20","55.24","50.71","10.11M","-1.69"
"Dec 16","53.72","49.07","54.51","48.98","10.64M","8.66"
"Nov 16","49.44","46.77","49.90","42.20","13.50M","5.51"
"Oct 16","46.86","48.04","51.93","46.63","10.82M","-2.86"
"Sep 16","48.24","44.85","48.32","42.55","12.37M","7.92"
"Aug 16","44.70","41.35","48.75","39.19","11.59M","7.45"
"Jul 16","41.60","48.38","49.35","40.57","9.34M","-13.93"
"Jun 16","48.33","48.82","51.67","45.83","10.42M","-1.57"
"May 16","49.10","45.90","50.21","43.03","11.20M","6.93"
"Apr 16","45.92","38.14","46.78","35.24","11.62M","19.77"
"Mar 16","38.34","33.90","41.90","33.37","10.88M","13.60"
"Feb 16","33.75","33.83","34.69","26.05","11.47M","0.39"
"Jan 16","33.62","37.60","38.39","26.19","10.39M","-9.23"
"Dec 15","37.04","41.73","42.23","33.98","8.70M","-11.07"
"Nov 15","41.65","46.43","48.36","38.99","7.88M","-10.60"
"Oct 15","46.59","45.38","50.92","42.58","8.31M","3.33"
"Sep 15","45.09","48.10","48.87","43.21","7.97M","-8.35"
"Aug 15","49.20","46.86","49.33","37.75","8.24M","4.41"
"Jul 15","47.12","58.98","58.98","46.68","7.17M","-20.77"
"Jun 15","59.47","60.29","61.82","56.83","6.54M","-1.38"
"May 15","60.30","59.79","62.58","56.51","6.34M","1.12"
"Apr 15","59.63","47.55","59.85","47.05","7.63M","25.27"
"Mar 15","47.60","49.45","52.48","42.03","7.69M","-4.34"
"Feb 15","49.76","47.59","54.24","46.67","8.46M","3.15"
"Jan 15","48.24","53.76","55.11","43.58","7.31M","-9.44"
"Dec 14","53.27","66.00","69.54","52.44","6.56M","-19.47"
"Nov 14","66.15","80.59","80.98","65.69","5.85M","-17.87"
"Oct 14","80.54","91.36","92.96","79.44","7.17M","-11.65"
"Sep 14","91.16","95.81","95.91","90.43","5.56M","-5.00"
"Aug 14","95.96","97.70","98.67","92.50","4.59M","-2.25"
"Jul 14","98.17","105.44","106.09","97.60","5.14M","-6.83"
"Jun 14","105.37","102.92","107.73","101.60","4.12M","2.59"
"May 14","102.71","99.72","104.50","98.74","4.38M","2.98"
"Apr 14","99.74","101.53","104.99","98.86","4.71M","-1.81"
"Mar 14","101.58","103.00","105.22","97.37","4.59M","-0.98"
"Feb 14","102.59","97.40","103.80","96.26","3.93M","5.23"
"Jan 14","97.49","98.50","98.97","91.24","4.49M","-0.94"
"Dec 13","98.42","92.71","100.75","92.56","3.66M","6.15"
"Nov 13","92.72","96.32","96.65","91.77","4.51M","-3.80"
"Oct 13","96.38","102.31","104.38","95.95","5.14M","-5.81"
"Sep 13","102.33","107.07","110.70","101.05","4.58M","-4.94"
"Aug 13","107.65","105.26","112.24","102.22","5.30M","2.49"
"Jul 13","105.03","96.58","109.32","96.07","5.38M","8.77"
"Jun 13","96.56","91.73","99.01","91.26","4.92M","4.99"
"May 13","91.97","93.08","97.17","90.11","5.87M","-1.59"
"Apr 13","93.46","97.36","97.80","85.61","5.43M","-3.88"
"Mar 13","97.23","91.76","97.35","89.33","4.03M","5.63"
"Feb 13","92.05","97.42","98.15","91.57","4.12M","-5.58"
"Jan 13","97.49","91.78","98.24","91.52","4.38M","6.18"
"Dec 12","91.82","88.85","91.99","85.21","3.59M","3.27"
"Nov 12","88.91","86.10","89.80","84.05","5.17M","3.10"
"Oct 12","86.24","92.15","93.66","84.66","5.24M","-6.45"
"Sep 12","92.19","96.38","100.42","88.95","4.34M","-4.44"
"Aug 12","96.47","88.03","98.29","86.92","5.08M","9.55"
"Jul 12","88.06","84.65","92.94","82.10","5.27M","3.65"
"Jun 12","84.96","86.44","87.03","77.28","5.95M","-1.81"
"May 12","86.53","104.89","106.43","85.86","5.81M","-17.49"
"Apr 12","104.87","103.27","105.49","100.68","4.48M","1.80"
"Mar 12","103.02","106.82","110.55","102.13","5.74M","-3.78"
"Feb 12","107.07","98.38","109.95","95.44","5.54M","8.72"
"Jan 12","98.48","99.70","103.74","97.40","5.41M","-0.35"
"Dec 11","98.83","100.51","102.44","92.52","4.70M","-1.52"
"Nov 11","100.36","92.58","103.37","89.17","6.24M","7.69"
"Oct 11","93.19","78.92","94.65","74.95","6.57M","17.66"
"Sep 11","79.20","88.73","90.52","77.11","6.45M","-10.82"
"Aug 11","88.81","96.20","98.60","75.71","8.28M","-7.20"
"Jul 11","95.70","95.12","100.62","93.45","5.45M","0.29"
"Jun 11","95.42","102.68","103.31","89.61","7.33M","-7.09"
"May 11","102.70","113.89","114.83","94.63","7.60M","-9.86"
"Apr 11","113.93","106.62","114.18","105.31","5.62M","6.76"
"Mar 11","106.72","96.97","106.95","96.22","6.87M","10.05"
"Feb 11","96.97","92.20","103.41","83.85","6.10M","5.18"
"Jan 11","92.19","91.31","92.84","85.11","6.93M","0.89"
"Dec 10","91.38","83.66","92.06","83.63","5.43M","8.64"
"Nov 10","84.11","81.45","88.63","80.06","6.76M","3.29"
"Oct 10","81.43","79.84","84.43","79.25","6.45M","1.83"
"Sep 10","79.97","71.70","80.18","71.67","6.82M","11.19"
"Aug 10","71.92","78.95","82.97","70.76","6.81M","-8.90"
"Jul 10","78.95","75.37","79.69","71.09","6.21M","4.39"
"Jun 10","75.63","73.97","79.38","69.51","7.26M","2.24"
"May 10","73.97","86.20","87.15","64.24","7.89M","-14.14"
"Apr 10","86.15","83.36","87.09","80.53","7.25M","2.85"
"Mar 10","83.76","79.84","83.85","78.06","6.52M","5.15"
"Feb 10","79.66","72.84","80.51","69.50","6.57M","9.29"
"Jan 10","72.89","79.63","83.95","72.43","5.38M","-8.15"
"Dec 09","79.36","77.35","80.00","68.59","5.66M","2.69"
"Nov 09","77.28","77.02","81.06","72.39","6.45M","0.36"
"Oct 09","77.00","70.40","82.00","68.05","6.92M","9.05"
"Sep 09","70.61","69.85","73.16","65.05","5.75M","0.93"
"Aug 09","69.96","69.30","75.00","65.23","5.72M","0.73"
"Jul 09","69.45","70.45","71.85","58.32","5.91M","-0.63"
"Jun 09","69.89","66.48","73.38","64.95","5.60M","5.40"
"May 09","66.31","50.95","66.64","50.43","5.04M","29.71"
"Apr 09","51.12","48.96","53.90","43.83","4.69M","2.94"
"Mar 09","49.66","44.34","54.66","39.44","5.17M","10.95"
"Feb 09","44.76","41.75","45.30","33.55","4.86M","7.39"
"Jan 09","41.68","43.72","50.47","32.70","5.13M","-6.55"
"Dec 08","44.60","54.62","54.62","32.40","4.47M","-18.06"
"Nov 08","54.43","67.37","71.77","48.25","4.52M","-19.73"
"Oct 08","67.81","101.86","102.84","61.30","5.69M","-32.62"
"Sep 08","100.64","116.65","130.00","90.51","5.66M","-12.84"
"Aug 08","115.46","124.06","128.60","111.34","5.46M","-6.95"
"Jul 08","124.08","140.18","147.27","120.42","5.83M","-11.37"
"Jun 08","140.00","127.63","143.67","121.61","6.23M","9.93"
"May 08","127.35","114.60","135.09","110.30","6.80M","12.24"
"Apr 08","113.46","101.57","119.93","99.55","5.63M","11.70"
"Mar 08","101.58","101.63","111.80","98.65","5.99M","-0.26"
"Feb 08","101.84","91.36","103.05","86.24","5.14M","11.00"
"Jan 08","91.75","96.05","100.09","86.11","5.46M","-4.41"
"Dec 07","95.98","88.79","97.92","85.82","4.25M","8.20"
"Nov 07","88.71","95.15","99.29","88.45","6.16M","-6.16"
"Oct 07","94.53","81.75","95.28","78.35","6.02M","15.76"
"Sep 07","81.66","73.90","83.90","73.48","4.78M","10.29"
"Aug 07","74.04","77.94","78.77","68.63","4.98M","-5.33"
"Jul 07","78.21","70.52","78.28","69.57","4.25M","10.65"
"Jun 07","70.68","64.23","71.06","63.80","4.42M","10.42"
"May 07","64.01","65.66","66.38","60.68","4.71M","-2.59"
"Apr 07","65.71","66.03","66.70","61.34","4.11M","-0.24"
"Mar 07","65.87","61.82","68.09","56.10","4.75M","6.60"
"Feb 07","61.79","57.89","62.25","56.62","4.78M","6.28"
"Jan 07","58.14","60.98","61.55","49.90","4.98M","-4.77"
"Dec 06","61.05","62.85","64.15","59.90","3.22M","-3.29"
"Nov 06","63.13","58.60","63.77","54.86","3.70M","7.49"
"Oct 06","58.73","62.80","63.32","56.55","3.33M","-6.64"
"Sep 06","62.91","70.29","70.66","59.52","2.40M","-10.46"
"Aug 06","70.26","74.40","77.45","68.65","2.05M","-5.56"
"Jul 06","74.40","73.95","78.40","71.65","1.82M","0.64"
"Jun 06","73.93","71.26","74.15","68.10","2.28M","3.70"
"May 06","71.29","71.70","74.99","67.42","2.46M","-0.82"
"Apr 06","71.88","66.25","75.35","65.60","2.07M","7.88"
"Mar 06","66.63","61.58","67.30","59.25","2.30M","8.50"
"Feb 06","61.41","67.80","69.00","57.55","2.26M","-9.58"
"Jan 06","67.92","61.04","69.20","60.81","2.15M","11.27"
"Dec 05","61.04","57.40","61.90","56.90","1.84M","6.49"
"Nov 05","57.32","59.76","62.15","55.40","1.90M","-4.08"
"Oct 05","59.76","66.20","66.62","59.15","1.93M","-9.78"
"Sep 05","66.24","68.75","69.66","62.55","2.17M","-3.92"
"Aug 05","68.94","60.51","70.85","60.51","2.43M","13.82"
"Jul 05","60.57","56.56","62.10","56.10","1.97M","7.20"
"Jun 05","56.50","51.95","60.95","51.93","2.18M","8.72"
"May 05","51.97","49.28","53.10","46.20","2.06M","4.53"
"Apr 05","49.72","55.25","58.28","49.50","2.10M","-10.25"
"Mar 05","55.40","51.77","57.60","50.65","2.12M","7.05"
